Protein1	Protein2	Interaction	Prediction
A0A7I8WZ01_BURXY	pdb6prj	0	0
Bx_cpl_2_4	pdb7sxb	0	0.164
BxCYP33C9_1	pdb2lze	0	0.308
BxSapB1_4	pdb2nbn	0	0.079
BxATG8_1	pdb2mv0	0	0
A0A1I7RKM9_BURXY	pdb2loy	0	0.429
cyp_33C9_1	pdb5ks6	1	0.898
A0A1I7S412_BURXY	pdb2l09	0	0
BxATG16_2	pdb2mbm	0	0.003
I0QMH2_9GAMM	pdb3hbe	0	0.315
A0A1I7S162_BURXY	pdb1qyc	0	nan
Bx_cpl_3_4	pdb6o6w	1	0.858
A0A1I7SCF8_BURXY	pdb2m01	1	0.957
Bx_cpl_1_1	pdb2lso	0	0.009
cyp_33C9_3	pdb2kru	0	0.426
Bx_cpl_3_3	pdb5krw	1	0.856
BxATG1_2	pdb8ftx	0	0
cyp_33C9_5	pdb6tfb	0	nan
Bx_cpl_2_5	pdb2lni	0	0.435
A0A7I8X2Z5_BURXY	pdb2mk2	0	0.005
A0A7I8WZ01_BURXY	pdb3hbh	0	0
BxSapB1_2	pdb2kru	1	0.728
Bx_Prx_5	pdb3hbd	0	0.41
BxATG9_1	pdb2n75	0	0
cyp_33C9_4	pdb2mm6	0	0.15
BxATG8_5	pdb6pq2	0	0
I4N4M3_9PSED	pdb2lni	0	0.002
BxATG9_3	pdb2lmd	0	0.014
A0A1I7S9L6_BURXY	pdb6jxw	0	0
A0A1I7S162_BURXY	pdb8s9c	0	nan
SapB3_2	pdb7qcc	0	0.023
I0QYY0_9GAMM	pdb2kzx	1	0.904
I0QQT8_9GAMM	pdb2lw4	0	0.011
Bx_Prx_1	pdb7qcc	0	0.071
BxATG1_4	pdb7m5t	0	0
BxATG8_1	pdb2ltl	0	0
BxATG9_1	pdb2n69	0	0
Bx_cpl_3_3	pdb2luz	1	0.89
A0A1I7S5S3_BURXY	pdb7mzz	0	0.005
BxPel1_3	pdb6tfb	0	nan
A0A1I7RT14_BURXY	pdb8ubh	0	0.004
SapB3_2	pdb5krw	0	0.024
Bx_Prx_5	pdb5kp0	0	0.418
BxATG1_2	7mzw	0	0
BxATG9_5	pdb5krw	0	0.271
Bx_cpl_3_2	pdb6pri	0	0
Bx_cpl_1_5	pdb2kvo	0	0.144
cyp_33C9_2	pdb8c29	0	nan
A0A1I7SF60_BURXY	pdb5krw	0	0
I0QNA0_9GAMM	pdb3sdr	0	0.016
BxATG1_4	pdb2n3k	0	0
Bx_cpl_1_1	pdb2l7q	0	0.018
BxCYP33C4_1	pdb2m1l	0	nan
SapB3_2	pdb2lnz	0	nan
cyp_33C9_3	pdb5uke	0	0.3
I0QWV1_9GAMM	pdb2krt	0	0.079
I0QNA0_9GAMM	2kl7	0	0.038
A0A1I7S162_BURXY	pdb2l7q	0	0.002
Bx_cpl_3_5	pdb2l9q	0	0.147
Bx_cpl_3_4	pdb2lnz	0	nan
A0A1I7RKV3_BURXY	pdb2kwb	0	0
A0A1I7RYC6_BURXY	pdb2lf2	0	0.019
Bx_cpl_3_5	pdb2l5q	0	0.15
Bx_cpl_1_5	pdb2l3f	0	0.333
BxATG8_4	pdb2ltd	0	nan
I0QM84_9GAMM	pdb6pqe	0	0.126
BxATG16	pdb3sdu	1	0.979
Bx_cpl_3_5	pdb7wcg	0	0.06
I0QWV1_9GAMM	pdb2n75	0	0.03
BxATG9_4	2lla	0	0.076
BxATG1_2	pdb2ma6	0	0
Bx_tlp_1_2	pdb7qcc	0	0.031
cyp_33C9_2	pdb3sdq	1	0.922
BxATG1_3	pdb2kwb	0	0.117
BxPel1_1	pdb2luz	0	0
Bx_cpl_2_3	pdb3sdu	0	0.302
cyp_33C9_5	pdb7mzx	0	0.313
Bx_tlp_1_1	pdb2m1l	0	nan
cyp_33C9_1	pdb3s9v	0	nan
BxCYP33D3_1	pdb2lze	0	0.007
Bx_cpl_1_3	pdb2kw2	0	0.001
Bx_Prx_3	7mzw	1	0.504
I0QQT8_9GAMM	7mzw	0	0.021
I0QYP7_9GAMM	pdb7n99	0	0.008
Bx_cpl_3_5	pdb2nt0	0	nan
A0A1I7RIV0_BURXY	pdb5zau	0	0.005
A0A1I7SCF8_BURXY	pdb2kpt	1	0.956
A0A1I7SCF8_BURXY	pdb2ljl	1	0.965
BxCYP33C4_3	pdb2n3j	0	nan
BxATG16_2	pdb2m47	0	0.004
A0A1I7RJ71_BURXY	pdb6pq2	0	0
I0QNP5_9GAMM	pdb8ubh	0	0.056
Bx_cpl_2_5	pdb2nsx	0	nan
Bx_cpl_2_4	pdb2ma5	0	0.162
Bx_cpl_2_3	pdb3sae	0	0.302
A0A1I7S9L6_BURXY	2kcx	0	0
I0QWV1_9GAMM	pdb2nt1	0	nan
Bx_cpl_3_2	pdb2n66	0	0
BxATG9_3	pdb6jxu	0	0.023
Bx_Prx_1	pdb2l0d	0	0.095
A0A1I7RT14_BURXY	pdb2kct	0	0.001
Bx_tlp_1_4	pdb7m5t	1	0.953
BxCYP33C9_4	pdb2kzx	0	0
cyp_33C9_4	pdb6prq	0	0.249
Bx_cpl_2_1	pdb2mbl	0	0.029
A0A1I7RL98_BURXY	pdb6jxu	0	0
BxPel1_5	pdb2mry	0	0.093
cyp_33C9_5	pdb7wcg	0	0.166
I4MYK4_9PSED	7mzw	0	0.083
cyp_33C9_4	pdb2lio	0	0.212
A0A060N411_BURMU	pdb5ks6	0	0.001
BxSapB1_3	pdb6e4j	0	0.098
Bx_cpl_1_1	pdb7y55	0	nan
A0A1I7S162_BURXY	pdb3sdv	0	0.001
SapB3_3	pdb8s9c	0	nan
SapB3_4	pdb2kw6	0	0.002
BxCYP33C4_3	pdb2lok	0	0.283
Bx_Prx_2	pdb7qcb	0	0.029
SapB3_3	pdb6wlf	0	nan
Bx_Prx_1	pdb5nce	0	0.126
Bx_cpl_3_5	pdb2l9p	0	0.112
Bx_tlp_1_1	pdb2kl3	0	0.02
BxCYP33C9_5	pdb2ll8	0	0.071
BxATG16	pdb2m1l	0	nan
BxCYP33C4_1	6dxa	0	nan
I4N5X7_9PSED	pdb2kl6	0	0.002
Bx_Prx_4	pdb2kzv	0	0.006
SapB3_1	2lla	0	0.072
Bx_cpl_3_3	pdb2lnz	0	nan
A0A1I7S5S3_BURXY	pdb2ksh	0	0.01
BxCYP33D3_5	pdb7knv	0	0.344
SapB3_1	pdb3sdu	0	0.045
BxATG9_5	pdb2lo0	0	nan
BxATG1_1	pdb2n3j	0	nan
BxATG1_3	pdb5kp0	0	0.055
A0A7I8WZ01_BURXY	pdb2mh2	0	0
Bx_Prx_2	pdb3hbh	0	0.017
BxCYP33D3_3	pdb2l09	1	0.658
SapB3_5	pdb2ltd	0	nan
BxATG8_4	pdb7qcb	0	0
A0A1I7RT14_BURXY	pdb5z55	0	0.001
BxPel1_5	pdb5z55	0	0.074
BxSapB1_3	pdb2lnu	0	0.142
BxCYP33C4_4	pdb2kpt	0	0.003
SapB3_5	pdb2lv2	0	0.353
Bx_cpl_1_5	pdb2nbn	0	0.144
SapB3_5	pdb2ma5	0	0.264
Bx_tlp_1_1	pdb6e4j	0	0.027
Bx_cpl_1_1	pdb2lgh	0	0.013
BxATG9_4	pdb2n3j	0	nan
A0A1I7SCF8_BURXY	pdb2l0d	1	0.952
BxCYP33D3_2	pdb2lna	0	0
A0A1I7S9L6_BURXY	pdb2nt0	0	nan
BxCYP33C9_2	pdb7jyz	1	0.724
BxATG1_2	pdb6xrg	0	0
cyp_33C9_5	pdb2lnz	0	nan
Bx_Prx_5	pdb2lk2	0	0.472
BxCYP33C4_2	pdb7sxb	0	0.07
BxCYP33C4_2	pdb2lio	0	0.107
BxPel1_5	pdb2kru	0	0.218
BxCYP33C9_2	pdb5krw	0	0.32
Bx_tlp_1_2	pdb1xes	0	nan
BxATG8_5	pdb6tfb	0	nan
BxCYP33C9_1	pdb3hbd	0	0.233
BxATG9_3	pdb2lml	0	0.019
A0A1I7S162_BURXY	pdb2lcg	0	0.002
A0A1I7RKM9_BURXY	pdb2lak	0	0.295
SapB3_4	pdb6tfb	0	nan
BxATG1_4	pdb6prq	0	0
BxSapB1	pdb3hbd	1	0.959
A0A1I7RT14_BURXY	pdb2nbn	0	0.001
Bx_cpl_2_2	pdb6jxw	0	0.208
Bx_cpl_3_4	pdb3sae	1	0.932
I4N4M3_9PSED	pdb2kl6	0	0.001
BxATG8_4	pdb3sdv	0	0
Bx_cpl_3_4	pdb5krw	1	0.877
SapB3_5	pdb2kpt	0	0.356
Bx_cpl_1_3	pdb2l0d	0	0
BxCYP33C9_2	pdb2lml	0	0.353
BxATG1_2	pdb6lqz	0	0
BxATG9_1	pdb7mzz	0	0
BxATG16_1	pdb2n75	0	0
BxATG8_2	pdb3hbe	0	0.01
A0A1I7RIV0_BURXY	pdb3hbd	0	0.003
BxPel1_3	2kcx	0	0.013
BxATG1_1	pdb7jyn	0	0.016
A0A1I7RT14_BURXY	pdb2ksh	0	0.004
BxCYP33D3_1	pdb5krw	0	0.005
BxCYP33D3_4	pdb2l3a	0	nan
I0QYY0_9GAMM	pdb2loy	1	0.907
Bx_cpl_2_3	pdb2lv2	0	0.242
A0A1I7RJ71_BURXY	pdb2lze	0	0
Bx_Prx_4	pdb2lze	0	0.012
Bx_Prx_5	pdb2lgh	1	0.515
cyp_33C9_3	pdb1u0u	0	nan
A0A1I7RJ71_BURXY	pdb6prq	0	0
BxATG1_1	pdb3sdu	0	0.005
BxATG9_1	pdb6pqe	0	0
BxATG16_1	pdb6pq2	0	0
I4N0B6_9PSED	pdb5krw	0	0.007
I0QNP5_9GAMM	pdb2lek	0	0.03
SapB3_4	pdb2n69	0	0.002
SapB3_2	pdb5z55	0	0.019
Bx_tlp_1_1	pdb1xet	0	nan
BxPel1_3	pdb2ko1	0	nan
BxCYP33D3_2	pdb2kim	0	0
I0QT18_9GAMM	pdb2l5q	0	0.022
I4N5X7_9PSED	pdb5zau	0	0.004
I4N5X7_9PSED	pdb2lok	0	0.004
BxCYP33D3_1	pdb3hbe	0	0.005
BxATG1_1	pdb7mzx	0	0.006
BxCYP33C4_4	pdb2ma6	0	0.002
I0QYY0_9GAMM	pdb2l08	1	0.846
Bx_tlp_1_5	pdb7lu8	1	0.954
BxCYP33C9_3	pdb2kzw	0	0
Bx_cpl_3_3	pdb2llf	1	0.892
BxATG9_4	pdb2lak	0	0.028
BxATG16	pdb2loy	1	0.98
Bx_cpl_1_1	pdb2nt0	0	nan
I0QMH2_9GAMM	pdb2kru	1	0.555
A0A1I7S412_BURXY	pdb2l0d	0	0
Bx_Prx_4	pdb2kt8	0	0.012
Bx_tlp_1_2	pdb2luz	0	0.043
BxCYP33D3_1	pdb2lek	0	0.007
cyp_33C9_3	pdb3sdu	0	0.34
BxCYP33C4_5	pdb2l07	1	0.828
cyp_33C9_2	pdb2mry	1	0.861
Bx_cpl_2_3	pdb2l05	0	0.344
A0A1I7SCF8_BURXY	pdb2ltd	0	nan
I4N8B0_9PSED	pdb6nzl	0	0.017
Bx_cpl_2_2	7mzw	0	0.339
BxCYP33C4_1	pdb2ltd	0	nan
I0QM84_9GAMM	pdb5uke	0	0.111
BxATG9_5	pdb2lna	0	0.314
BxATG16_1	pdb4lej	0	0
Bx_cpl_2_1	pdb6cgh	0	0.054
BxATG1_5	6dxa	0	nan
A0A7I8WZ01_BURXY	pdb2lxu	0	0
Bx_cpl_1_3	pdb3hbh	0	0
BxCYP33D3_5	pdb6prq	0	0.308
Bx_cpl_2_2	pdb8ftw	0	0.324
Bx_cpl_2_5	pdb2lfi	0	0.35
BxATG9_4	pdb2mm6	0	0.025
Bx_Prx_2	pdb8ubh	0	0.043
BxATG8_3	pdb2mry	0	0.002
BxATG9_1	2lla	0	0
A0A7I8X2Z5_BURXY	pdb6jxw	0	0.001
Bx_cpl_2_2	pdb6cgh	0	0.252
I4N4Q3_9PSED	pdb2lcg	0	0.004
I0QYP7_9GAMM	pdb3sdq	0	0.009
cyp_33C9_1	pdb2n69	1	0.849
BxSapB1_3	pdb3hbd	0	0.07
A0A1I7RKM9_BURXY	pdb6pqm	0	0.384
BxATG1_5	pdb8ubh	0	0.222
BxSapB1	pdb7wcg	1	0.957
A0A7I8X2Z5_BURXY	pdb7wcg	0	0.001
I4MYK4_9PSED	pdb2l9p	0	0.058
cyp_33C9_2	pdb2luz	1	0.894
Bx_Prx_4	pdb7c1m	0	nan
BxCYP33D3_4	pdb2n75	0	0.048
BxCYP33C9_5	pdb2mm6	0	0.056
BxATG16_3	pdb8c29	0	nan
BxATG16	pdb2nbn	1	0.96
Bx_Prx_1	pdb7jyn	0	0.314
A0A1I7RKV3_BURXY	pdb2mk2	0	0
cyp_33C9_5	pdb2lna	0	0.203
A0A1I7RYC6_BURXY	pdb2ma6	0	0.012
SapB3_5	pdb2lgh	0	0.368
Bx_tlp_1_4	pdb7lu8	1	0.953
BxPel1_2	pdb6amv	0	0.016
Bx_cpl_2_2	pdb5ks6	0	0.224
Bx_cpl_1_2	pdb2kt8	0	0.012
SapB3_4	pdb2mbl	0	0.002
BxATG16	pdb2nsx	0	nan
I4N4M3_9PSED	pdb2lnu	0	0.002
BxATG9_1	pdb7knv	0	0
Bx_cpl_1_3	pdb6jxw	0	0.001
cyp_33C9_3	pdb2n66	0	0.211
BxPel1_2	pdb2mry	0	0.009
Bx_cpl_3_3	pdb2lch	1	0.903
BxATG9_5	pdb3sdu	0	0.418
Bx_cpl_3_4	2kcx	1	0.979
Bx_cpl_2_2	pdb3sdq	0	0.262
A0A1I7SCA3_BURXY	pdb2ll8	0	0
A0A1I7S162_BURXY	pdb2ll8	0	0.001
Bx_tlp_1_2	pdb2krt	0	0.083
A0A060N411_BURMU	pdb2lfi	0	0.001
A0A1I7RKV3_BURXY	pdb2lw4	0	0
BxCYP33C4_5	pdb3hbd	1	0.568
BxCYP33C4_2	pdb2n75	0	0.073
cyp_33C9_2	pdb6pq2	1	0.912
BxSapB1_5	pdb6kna	0	0.153
I4N4Q3_9PSED	pdb2lgh	0	0.003
Bx_cpl_2_3	pdb2n66	0	0.184
BxCYP33C9_3	pdb2n3k	0	0
BxCYP33D3_1	pdb2lok	0	0.01
Bx_Prx_2	pdb3sdt	0	0.028
I0QT18_9GAMM	pdb7y55	0	nan
I0QMH2_9GAMM	pdb2l08	0	0.338
Bx_Prx_5	pdb2nsx	0	nan
A0A1I7SCF8_BURXY	pdb6cgh	1	0.965
BxCYP33D3_3	pdb7c1m	0	nan
A0A1I7RL98_BURXY	pdb2loy	0	0
BxPel1_4	pdb2lmd	0	0.003
BxCYP33C4_2	pdb5vso	0	0.062
BxPel1_2	pdb2lak	0	0.01
cyp_33C9_3	pdb6o6w	0	0.185
Bx_cpl_3_4	pdb6prq	1	0.93
A0A1I7S161_BURXY	pdb6amv	0	0
I4N5T3_9PSED	pdb6tfb	0	nan
BxATG8_5	pdb6lqz	0	0
BxCYP33C9_4	pdb2lx7	0	0
cyp_33C9_4	pdb2lna	0	0.179
SapB3_5	pdb2ma6	0	0.264
BxCYP33C4_4	pdb1xet	0	nan
Bx_tlp_1_2	pdb2nbn	0	0.032
SapB3_3	pdb7c1m	0	nan
BxCYP33C4_3	pdb2kzx	0	0.258
SapB3_5	pdb2kl3	0	0.288
BxATG16_1	pdb6iwj	0	nan
cyp_33C9_2	pdb2kz5	1	0.909
BxPel1_1	pdb1u0u	0	nan
BxATG16_5	pdb8ftw	0	0
A0A1I7S6H9_BURXY	pdb2kw6	0	0.056
A0A1I7S6H9_BURXY	pdb2kvo	0	0.053
Bx_Prx_3	pdb4lej	0	0.281
BxATG16	pdb3s9v	0	nan
I0QYY0_9GAMM	pdb7x5c	1	0.825
BxPel1_2	pdb6kna	0	0.02
A0A1I7RYC6_BURXY	pdb2nsx	0	nan
BxATG8_1	pdb2m47	0	0
cyp_33C9_1	pdb2lch	1	0.899
BxSapB1_3	pdb8c29	0	nan
A0A1I7SF60_BURXY	pdb2kl6	0	0
BxCYP33C9_2	pdb7jyn	1	0.724
BxATG9_3	pdb7knv	0	0.035
BxSapB1_3	pdb8s9c	0	nan
BxCYP33C4_5	pdb5ks6	1	0.672
BxCYP33D3_3	pdb5krw	1	0.592
A0A1I7RIV0_BURXY	pdb2l3f	0	0.007
Bx_cpl_2_5	pdb2l3f	1	0.516
Bx_cpl_1_5	pdb3sdv	0	0.148
Bx_cpl_2_2	pdb2ma6	0	0.149
BxSapB1_3	pdb5nce	0	0.121
A0A1I7S162_BURXY	pdb2kw2	0	0.002
A0A1I7S5S3_BURXY	pdb7lns	0	0.008
A0A060N411_BURMU	pdb2m8x	0	0.001
Bx_cpl_1_1	pdb6e4h	0	nan
BxCYP33C9_4	pdb3sdu	0	0
SapB3_2	pdb2lek	0	0.036
I0QT18_9GAMM	pdb2kd1	0	0.017
cyp_33C9_2	pdb2m16	1	0.958
Bx_cpl_3_2	pdb6prj	0	0
A0A060N411_BURMU	pdb2mm5	0	0.001
BxATG8_4	pdb8s9c	0	nan
BxATG1_2	pdb6amw	0	0
A0A1I7RKV3_BURXY	pdb2ljw	0	0
BxATG16_1	pdb2l05	0	0
BxATG1_1	pdb2lio	0	0.004
A0A1I7RT14_BURXY	pdb3hbh	0	0.001
BxPel1_5	pdb2kpn	0	0.128
BxCYP33C4_3	pdb6xrg	0	0.497
BxSapB1_3	2lla	0	0.193
BxSapB1_3	pdb3sdv	0	0.073
BxATG1_1	pdb2lso	0	0.003
I0QYP7_9GAMM	pdb2kwb	0	0.011
I0QYP7_9GAMM	pdb2lak	0	0.005
BxCYP33C9_3	pdb7y55	0	nan
BxATG16	pdb7n99	1	0.976
Bx_cpl_2_3	pdb4lej	0	0.196
Bx_cpl_2_2	pdb2n3j	0	nan
Bx_cpl_3_5	pdb2n69	0	0.063
I0QM84_9GAMM	pdb2kvo	0	0.073
A0A1I7SCA3_BURXY	pdb2ltl	0	0
BxATG16_1	pdb2llf	0	0
BxCYP33D3_2	pdb2kl3	0	0
BxATG16_1	pdb2kz5	0	0
A0A7I8WZ01_BURXY	pdb2kkq	0	0
BxPel1_5	pdb2lf2	0	0.134
BxPel1_5	pdb7n99	0	0.145
Bx_cpl_1_2	pdb2lnb	0	0.01
BxCYP33C4_4	pdb5vso	0	0.002
BxSapB1	pdb2mk2	1	0.991
BxATG8_3	pdb2lcg	0	0.004
Bx_cpl_2_1	pdb2lek	0	0.045
Bx_cpl_3_5	6dxa	0	nan
I0QT18_9GAMM	pdb1xet	0	nan
Bx_cpl_3_4	pdb5nce	1	0.927
BxSapB1_2	pdb5vso	0	0.447
BxATG9_4	pdb2lfi	0	0.038
A0A1I7SF60_BURXY	pdb2m1l	0	nan
A0A1I7S6H9_BURXY	pdb6amv	0	0.094
A0A1I7S162_BURXY	pdb5zau	0	0.002
Bx_tlp_1_3	pdb2kif	1	0.935
Bx_cpl_3_4	6dxa	0	nan
Bx_tlp_1_5	pdb7lns	1	0.954
BxSapB1_3	2kcx	0	0.337
BxATG8_2	pdb6prp	0	0.017
BxSapB1_3	pdb2kl3	0	0.074
A0A1I7S162_BURXY	pdb5nce	0	0.002
BxATG16	pdb2n76	1	0.96
BxSapB1_5	pdb3hbd	0	0.073
BxATG1_2	pdb2mk2	0	0
A0A1I7S162_BURXY	pdb2ma5	0	0.001
BxCYP33D3_4	pdb3sdt	0	0.089
BxATG1_5	pdb6pqm	0	0.135
Bx_cpl_2_2	pdb2kzw	0	0.153
Bx_cpl_3_3	pdb3sdr	1	0.919
Bx_cpl_1_2	pdb3hbe	0	0.008
A0A1I7RKM9_BURXY	pdb6jxu	0	0.353
cyp_33C9_5	pdb2l05	0	0.33
BxSapB1	pdb6o6w	1	0.952
SapB3_1	6dxa	0	nan
BxSapB1_2	pdb7wcg	0	0.48
Bx_tlp_1_4	pdb6pqm	1	0.939
A0A1I7RKM9_BURXY	pdb2mh2	0	0.458
A0A1I7S162_BURXY	pdb6ppt	0	0.001
Bx_cpl_1_1	pdb2mbl	0	0.008
BxATG9_2	pdb2n66	0	0.125
Bx_tlp_1_3	pdb2lxu	1	0.928
I0QM84_9GAMM	pdb2kzv	0	0.054
BxCYP33C9_1	pdb2lcg	0	0.394
Bx_tlp_1_1	2kl7	0	0.082
BxCYP33D3_4	pdb2kt8	0	0.069
A0A7I8X2Z5_BURXY	pdb2lw4	0	0.001
BxPel1_4	pdb3s9v	0	nan
BxATG8_5	pdb2llf	0	0
A0A7I8WZ01_BURXY	pdb2l82	0	0
BxCYP33D3_4	pdb3sdr	0	0.089
Bx_cpl_2_2	pdb2luz	0	0.201
cyp_33C9_4	pdb2lch	0	0.218
Bx_cpl_2_1	pdb6o6w	0	0.026
SapB3_1	pdb6nzl	0	0.02
BxSapB1_5	pdb6nzl	0	0.063
I0QT18_9GAMM	pdb2lnb	0	0.01
Bx_Prx_3	pdb2mm5	0	0.227
BxATG1_5	pdb3sdq	0	0.155
BxATG16_3	pdb2ksh	1	0.969
BxATG9_3	2kcx	0	0.1
BxATG1_5	pdb2ltd	0	nan
I0QNP5_9GAMM	pdb2ksh	0	0.053
BxATG8_4	pdb2l0d	0	0
A0A1I7S9L6_BURXY	pdb2ll8	0	0
BxCYP33C9_2	pdb2m01	0	0.41
A0A1I7SCF8_BURXY	pdb2kif	1	0.962
Bx_Prx_5	pdb2mm6	0	0.41
Bx_cpl_2_1	pdb2mm5	0	0.025
BxCYP33D3_1	pdb2l82	0	0.007
BxCYP33C9_2	pdb6psi	0	nan
BxATG8_5	pdb2mm6	0	0
I4N5X7_9PSED	pdb6xry	0	0.011
Bx_cpl_2_5	pdb6xr7	1	0.658
SapB3_2	pdb2kvo	0	0.024
cyp_33C9_5	pdb2loy	0	0.294
BxATG1_1	pdb2ltl	0	0.004
BxSapB1_3	pdb2lf2	0	0.104
BxCYP33C4_5	pdb2l0a	1	0.634
Bx_tlp_1_2	pdb3sdu	0	0.059
A0A1I7S162_BURXY	pdb2lek	0	0.002
I0QWV1_9GAMM	pdb2nt0	0	nan
A0A1I7SCF8_BURXY	pdb2l3a	0	nan
BxCYP33C9_4	pdb6xr7	0	0
I4N0B6_9PSED	pdb6psi	0	nan
A0A1I7RIV0_BURXY	pdb2lio	0	0.004
I4N5X7_9PSED	pdb2nt1	0	nan
Bx_Prx_3	pdb6prp	0	0.378
BxCYP33D3_3	pdb2loy	1	0.745
A0A1I7SCF8_BURXY	pdb2kt7	1	0.963
Bx_cpl_2_2	pdb1qyc	0	nan
Bx_cpl_3_5	pdb7x5c	0	0.06
BxCYP33D3_3	pdb6cgh	1	0.728
Bx_Prx_2	pdb3sdr	0	0.028
A0A1I7S6H9_BURXY	pdb6ppt	0	0.045
BxATG16_2	pdb3sdr	0	0.006
BxATG9_5	pdb6e4h	0	nan
Bx_Prx_1	pdb6nu4	0	0.063
I0QNA0_9GAMM	pdb2nbn	0	0.009
Bx_tlp_1_4	pdb2ksi	1	0.963
cyp_33C9_5	pdb3s9v	0	nan
Bx_Prx_1	pdb2lv2	0	0.102
BxCYP33C4_2	pdb3hbh	0	0.085
BxCYP33C9_1	pdb7qcc	0	0.226
A0A1I7S412_BURXY	pdb2mbm	0	0
BxCYP33C9_1	pdb2lak	0	0.25
BxATG8_1	pdb3hbh	0	0
BxCYP33C4_2	pdb7jyn	0	0.31
BxCYP33D3_1	pdb1qyc	0	nan
BxATG16_2	pdb1u0u	0	nan
BxCYP33C4_3	pdb2luz	0	0.198
Bx_cpl_2_5	pdb2mbm	0	0.25
A0A1I7S9L6_BURXY	pdb3sdr	0	0
BxSapB1	pdb8s9c	0	nan
BxSapB1_3	pdb2kt1	0	0.174
BxSapB1_5	pdb6j4i	0	0.102
Bx_cpl_2_3	pdb6j4i	0	0.243
I0QT18_9GAMM	pdb2ksh	0	0.023
SapB3_4	pdb2lze	0	0.003
BxSapB1_2	pdb7jyn	1	0.847
Bx_cpl_2_1	pdb2l3a	0	nan
SapB3_1	pdb2kw2	0	0.048
Bx_tlp_1_3	pdb3sae	1	0.944
A0A1I7S161_BURXY	pdb5nce	0	0
A0A1I7S9L6_BURXY	pdb5kp0	0	0
A0A7I8X2Z5_BURXY	pdb3hbh	0	0.001
A0A1I7RYC6_BURXY	pdb2l09	0	0.017
I0QNA0_9GAMM	pdb2lfi	0	0.013
BxATG8_2	pdb2lch	0	0.016
I0QM84_9GAMM	pdb2n66	0	0.072
Bx_tlp_1_1	pdb6jxu	0	0.027
Bx_cpl_1_2	pdb6prp	0	0.014
BxATG1_2	pdb2kpm	0	0
Bx_tlp_1_4	pdb6e4h	0	nan
A0A1I7RL98_BURXY	pdb7y55	0	nan
A0A1I7S412_BURXY	pdb2kzw	0	0
A0A1I7RL98_BURXY	pdb3sdq	0	0
cyp_33C9_2	pdb3hbh	1	0.879
SapB3_4	pdb6amv	0	0.004
cyp_33C9_1	pdb3sdq	1	0.915
BxPel1_4	pdb6amv	0	0.005
BxATG8_2	pdb2nbn	0	0.01
Bx_Prx_2	pdb2lq3	0	0.016
BxCYP33D3_4	pdb3sdu	0	0.089
BxCYP33D3_1	pdb8c29	0	nan
Bx_Prx_1	pdb2l5q	0	0.176
Bx_cpl_1_5	pdb3hbd	0	0.144
A0A1I7SCA3_BURXY	pdb7x5c	0	0
BxATG9_1	pdb6pqm	0	0
A0A1I7S5S3_BURXY	pdb2lv2	0	0.005
A0A060N411_BURMU	pdb2ltl	0	0.001
Bx_cpl_1_1	pdb7lu8	0	0.019
BxATG16_1	pdb2lso	0	0
BxSapB1_4	pdb2l05	0	0.171
BxCYP33D3_1	pdb2lso	0	0.005
BxCYP33C9_3	pdb7mzz	0	0
BxATG8_2	pdb6e4j	0	0.014
Bx_Prx_4	pdb2lmd	0	0.007
BxATG1_1	pdb6xr6	0	0.01
Bx_Prx_5	pdb2l9q	1	0.644
BxPel1_2	pdb2ljw	0	0.012
BxATG16	pdb2lxu	1	0.973
BxATG1_2	2lla	0	0
I0QMH2_9GAMM	pdb2kl6	0	0.327
cyp_33C9_5	pdb7n99	0	0.26
cyp_33C9_4	pdb2kif	0	0.227
BxCYP33C4_4	pdb2lxu	0	0.003
Bx_cpl_2_4	pdb5zau	0	0.272
BxCYP33D3_1	pdb2mh2	0	0.01
BxCYP33D3_4	pdb8ubh	0	0.131
I0QQT8_9GAMM	pdb6iwj	0	nan
A0A1I7RJ71_BURXY	pdb2lna	0	0
BxPel1_1	pdb2nt0	0	nan
BxATG9_1	pdb2kl3	0	0
BxCYP33C9_1	pdb2lk2	0	0.279
BxATG1_5	pdb7c1m	0	nan
BxATG9_4	pdb2l9q	0	0.063
BxCYP33D3_1	pdb2lnb	0	0.006
Bx_tlp_1_3	pdb7jyz	1	0.98
BxATG16_3	pdb2lq3	1	0.925
BxATG8_5	pdb2kt8	0	0
BxCYP33D3_3	pdb2l8v	1	0.735
Bx_cpl_3_1	pdb2l0a	0	0.25
BxATG16_3	pdb2nt0	0	nan
BxCYP33D3_5	pdb7jyn	1	0.576
BxATG8_3	pdb2n69	0	0.002
BxATG1_2	pdb7m5t	0	0
cyp_33C9_4	pdb4lej	0	0.161
BxATG1_1	pdb6xr7	0	0.015
I4MYK4_9PSED	pdb2ltl	0	0.043
BxATG16_2	pdb6xr6	0	0.011
A0A1I7S412_BURXY	2kcx	0	0.001
Bx_cpl_1_4	pdb7mzx	0	0.012
BxATG1_2	pdb6prj	0	0
A0A1I7S412_BURXY	pdb3sdu	0	0
Bx_Prx_5	pdb1xes	0	nan
BxSapB1_5	pdb2ltl	0	0.098
I0QWV1_9GAMM	pdb2llf	0	0.042
BxPel1_5	pdb6amw	0	0.156
cyp_33C9_4	pdb2ma5	0	0.143
I0QYP7_9GAMM	pdb6amw	0	0.008
Bx_cpl_3_3	pdb2kd1	1	0.924
BxATG8_4	pdb7x5c	0	0
